provider_id,base_id,team_name,club_name,needed_alias,age_group,division,master_team_id,master_team_name,action
1274,1274,956 United U14 AD,956 United,1274_U14_AD,U14,AD,,,CREATE_NEW_TEAM
1419,1419,Louisiana Elite SP U14 AD,Louisiana Elite SP,1419_U14_AD,U14,AD,,,CREATE_NEW_TEAM
1144,1144,AC River U14 AD,AC River,1144_U14_AD,U14,AD,2d1d0ac1-b578-4ada-9f3f-3ef878a050c5,AC River U14 HD,CREATE_ALIAS_ONLY
1269,1269,Dallas Hornets East U14 AD,Dallas Hornets East,1269_U14_AD,U14,AD,,,CREATE_NEW_TEAM
382,382,Lanier Soccer Association U14 AD,Lanier Soccer Association,382_U14_AD,U14,AD,da88cdba-b4f9-44b8-abda-c7dcf1ad5c2e,Lanier Soccer Association U14 HD,CREATE_ALIAS_ONLY
1300,1300,ASG U14 AD,ASG,1300_U14_AD,U14,AD,,,CREATE_NEW_TEAM
name:southern-soccer-academy,name:southern-soccer-academy,Southern Soccer Academy U14 HD,Southern Soccer Academy,name:southern-soccer-academy_U14_HD,U14,HD,,,CREATE_NEW_TEAM
1302,1302,Roswell Soccer Club U14 AD,Roswell Soccer Club,1302_U14_AD,U14,AD,,,CREATE_NEW_TEAM
1406,1406,Huntsville City FC U14 HD,Huntsville City FC,1406_U14_HD,U14,HD,,,CREATE_NEW_TEAM
389,389,SC Del Sol U14 HD,SC Del Sol,389_U14_AD,U14,AD,7387cc72-ee35-4d9c-bb55-8a99e160e50c,SC Del Sol U14 HD,CREATE_ALIAS_ONLY
474,474,Strikers FC U14 HD,Strikers FC,474_U14_AD,U14,AD,281d9cb4-0aa6-4e87-a2d0-b694fc44ae1b,Strikers FC U14 HD,CREATE_ALIAS_ONLY
1273,1273,Los Angeles Soccer Club U14 AD,Los Angeles Soccer Club,1273_U14_AD,U14,AD,,,CREATE_NEW_TEAM
568,568,ALBION SC Merced U14 HD,ALBION SC Merced,568_U14_AD,U14,AD,4ce1da53-173b-4991-ab5d-410ed61c6601,ALBION SC Merced U14 HD,CREATE_ALIAS_ONLY
411,411,Lamorinda Soccer Club U14 HD,Lamorinda Soccer Club,411_U14_AD,U14,AD,6536ec3d-b4d1-4f5a-b44b-78f36ccea960,Lamorinda Soccer Club U14 HD,CREATE_ALIAS_ONLY
104,104,Silicon Valley Soccer Academy U14 AD,Silicon Valley Soccer Academy,104_U14_AD,U14,AD,18c44839-9699-4373-a11d-6ac64b6e2257,Silicon Valley Soccer Academy U14 HD,CREATE_ALIAS_ONLY
565,565,San Francisco Seals U14 HD,San Francisco Seals,565_U14_AD,U14,AD,d943f39d-ccbd-46cf-8fdd-305c916b9b63,San Francisco Seals U14 HD,CREATE_ALIAS_ONLY
457,457,Atletico Santa Rosa U14 AD,Atletico Santa Rosa,457_U14_AD,U14,AD,fa490cd5-772c-430b-9e5d-cd54ec15a11f,Atletico Santa Rosa U14 HD,CREATE_ALIAS_ONLY
name:diablo-valley-futbol-club,name:diablo-valley-futbol-club,Diablo Valley Futbol Club U14 AD,Diablo Valley Futbol Club,name:diablo-valley-futbol-club_U14_AD,U14,AD,,,CREATE_NEW_TEAM
1351,1351,LA Youth U14 AD,LA Youth,1351_U14_AD,U14,AD,,,CREATE_NEW_TEAM
name:jacksonville-fc,name:jacksonville-fc,Jacksonville FC U14 HD,Jacksonville FC,name:jacksonville-fc_U14_HD,U14,HD,,,CREATE_NEW_TEAM
1338,1338,Valor Soccer U14 AD,Valor Soccer,1338_U14_AD,U14,AD,,,CREATE_NEW_TEAM
1337,1337,Sozo FC U14 AD,Sozo FC,1337_U14_AD,U14,AD,,,CREATE_NEW_TEAM
132,132,Burlingame Soccer Club U14 AD,Burlingame Soccer Club,132_U14_AD,U14,AD,,,CREATE_NEW_TEAM
67,67,FC Greater Boston Bolts U14 AD,FC Greater Boston Bolts,67_U14_AD,U14,AD,8302a219-1ce8-4895-8a99-de6ba0379ece,FC Greater Boston Bolts U14 HD,CREATE_ALIAS_ONLY
1278,1278,New England Surf SC U14 AD,New England Surf SC,1278_U14_AD,U14,AD,,,CREATE_NEW_TEAM
